CODE,DATACOUNT,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,471,True,66000,,1,836059.53,,6601100,大甲區,102,836059.53,471,臺中市,PItemStatistics
,127,True,66000,,1,644346.37,,6602200,大安區,102,644346.37,127,臺中市,PItemStatistics
,274,True,66000,,1,716360.3,,6602400,大肚區,102,716360.3,274,臺中市,PItemStatistics
,1102,True,66000,,1,1298906.38,,6602800,大里區,102,1298906.38,1102,臺中市,PItemStatistics
,602,True,66000,,1,715928.52,,6601800,大雅區,102,715928.52,602,臺中市,PItemStatistics
,176,True,66000,,1,252833.66,,6600100,中區,102,252833.66,176,臺中市,PItemStatistics
,892,True,66000,,1,1441009.02,,6602700,太平區,102,1441009.02,892,臺中市,PItemStatistics
,1356,True,66000,,1,1709076.19,,6600800,北屯區,102,1709076.19,1356,臺中市,PItemStatistics
,902,True,66000,,1,1009501.19,,6600500,北區,102,1009501.19,902,臺中市,PItemStatistics
,162,True,66000,,1,397092.39,,6602100,外埔區,102,397092.39,162,臺中市,PItemStatistics
,141,True,66000,,1,206261.54,,6602000,石岡區,102,206261.54,141,臺中市,PItemStatistics
,426,True,66000,,1,745246.17,,6601500,后里區,102,745246.17,426,臺中市,PItemStatistics
,1321,True,66000,,1,2419938.9,,6600600,西屯區,102,2419938.9,1321,臺中市,PItemStatistics
,723,True,66000,,1,676358,,6600400,西區,102,676358,723,臺中市,PItemStatistics
,492,True,66000,,1,894364.45,,6601300,沙鹿區,102,894364.45,492,臺中市,PItemStatistics
,188,True,66000,,1,235481.12,,6602900,和平區,102,235481.12,188,臺中市,PItemStatistics
,510,True,66000,,1,1052032.9,,6600200,東區,102,1052032.9,510,臺中市,PItemStatistics
,390,True,66000,,1,685480.19,,6601000,東勢區,102,685480.19,390,臺中市,PItemStatistics
,1002,True,66000,,1,1391160.8,,6600700,南屯區,102,1391160.8,1002,臺中市,PItemStatistics
,621,True,66000,,1,688261.92,,6600300,南區,102,688261.92,621,臺中市,PItemStatistics
